stop_name	stop_lat	stop_lon
Bojanowska	51.1653264500	16.8818990400
Głogowska	51.1174262400	17.0035309700
StrachowiceGeneralAviation	51.1050111500	16.8990643000
PL.GRUNWALDZKI	51.1114516500	17.0605291900
Szczodre-Trzebnicka	51.1903616100	17.1841944200
pl.Wróblewskiego	51.1053429000	17.0489335300
PsiePole(RondoLotnikówPolskich)	51.1465900000	17.1153640000
RakówI	51.1700792400	17.2776887800
KŁOKOCZYCE	51.1569605300	17.0962815100
WzgórzePartyzantów	51.1037869200	17.0384902700
Swojczycka	51.1141998300	17.1161854900
ZOO	51.1055608100	17.0778982000
Metalowców	51.1327474000	16.9582917200
Bujwida	51.1133631600	17.0669058200
NowyDwór(Rogowska)	51.1186519500	16.9537881200
Smocza	51.1033559900	17.1547421600
Radwanice-Szkoła	51.0486200000	17.1154640000
Wilczyce-Dworska	51.1293687300	17.1550406900
BiskupicePodgórneLGElectronics	51.0236840000	16.8909370000
BARDZKA(Cmentarz)	51.0732655400	17.0532944900
Fieldorfa	51.1476506000	16.9082140000
Słowiańska	51.1235419100	17.0402172300
Przyjaźni	51.0687684000	17.0047434500
GALERIADOMINIKAŃSKA	51.1085289400	17.0387010800
Główna	51.1636348700	16.8966882100
OSOBOWICKA(Cmentarz)	51.1354559000	17.0042563000
PL.DANIŁOWSKIEGO	51.1384677800	17.0586282800
MOKRYDWÓR	51.0710700000	17.1237490000
DWORZECGŁÓWNY	51.0996462200	17.0372634900
Jutrosińska	51.1463619300	17.0418826300
Stalowa	51.0996657800	17.0016518700
Rynek	51.1098340800	17.0265935000
DWORZECNADODRZE	51.1242294000	17.0350092500
Ołtaszyn	51.0565016200	17.0249606900
Działdowska	51.1331716300	17.1054383500
8Maja	51.1135576300	17.0922856300
MostMilenijny	51.1365115200	16.9992727300
mostOsobowicki	51.1330231600	17.0261839300
Bagatela	51.1527626500	17.0693892200
Szkocka	51.1091444900	16.9685528800
Wojanowska(Stoszowska)	51.1514870000	16.9099300000
PL.STASZICA	51.1224624500	17.0302590500
Okrzei	51.1064282400	17.0984639600
Śliczna	51.0850864300	17.0349837600
Marszowicka	51.1631676200	16.8785105900
Kwiska	51.1252752500	16.9834276700
Wiślańska	51.1359184100	16.9790481300
LasMokrzański	51.1759061700	16.8335489400
SPISKA(Ośrodeksportu)	51.0835642600	17.0299742900
Metalowców	51.1322485600	16.9563613100
LITOMSKA(ZUS)	51.1199086500	17.0101373900
Nyska	51.0830575600	17.0544017000
Ratyń-skrzyżowanie	51.1306630400	16.8475935500
Kotowice-Cmentarna	51.0226600000	17.2333630000
Zakładowa	51.1298330000	17.0391070000
Królewiecka(Staw)	51.1544670000	16.9240520000
Paprotna	51.1477521500	17.0205392900
NowyDwór	51.1125872800	16.9599295600
Wejherowska	51.1294515200	16.9866403700
Ramiszów	51.1887846200	17.1014066200
Łukaszowice	51.0107157000	17.0865215800
DŁUGA(Politechnika)	51.1252886200	17.0100183300
Zaolziańska	51.0980482000	17.0254733100
DWORZECAUTOBUSOWY	51.0965745500	17.0329804700
GrobliceII-Kotowicka	51.0136830000	17.1752490000
Budziwojowice	51.2228853800	17.1881141400
Waniliowa	51.1784030000	16.9997520000
Wilkszyńska	51.1736440100	16.8862201500
Spółdzielcza	51.1022060200	17.1018083900
Pola	51.1367486200	17.0446982300
Kasprowicza	51.1378651500	17.0536707600
Marcepanowa	51.0623652800	16.9763931500
Siedlec-Wrocławska/szkoła	51.2302522500	17.1148444300
Perzowa	51.1765761700	16.9919465400
Palacha	51.1405715000	17.1264309300
Św.Katarzyna-Głównanż	51.0321000000	17.1256280000
Samotwór-Dębowa	51.1067160000	16.8365920000
Sowia	51.0737926200	17.0018449400
Sanocka	51.0932632800	17.0300793500
Wilkszyn-Miłoszyn	51.1827212000	16.8725008000
Trawowa	51.0970587400	16.9505113100
Różanka	51.1395030400	17.0216930800
Sulimów	51.0010080000	17.1260740000
KRZYKI	51.0749540900	17.0063847900
Godzieszowa(nawys.nr8)	51.2374339300	17.1259322500
Żernicka(Stacjakolejowa)	51.1260832900	16.9142594700
Inowrocławska	51.1154377400	17.0152886900
Godebskiego(AWFWrocław)	51.1138679100	17.0987194000
Jaksonowice-skrzy.	51.2495630900	17.2452439900
Chociebuska	51.1146730400	16.9580598300
Bierutowska75	51.1559648100	17.1406814300
pl.Strzegomski(MuzeumWspółczesne)	51.1129278900	17.0077196800
Wolska	51.1469110000	16.8693790000
WAŁBRZYSKA	51.0648963600	16.9761323900
Śrubowa	51.1124317600	17.0010101300
Rondo	51.0906902300	17.0171240100
KamieńDiamentowa	51.1671000000	17.2240627700
RODBielany	51.0552190800	16.9775086500
Chełmońskiego	51.1037567700	17.0909274000
RODMieczyk	51.0638894900	17.0724922200
